id,code,name
001,00, No aplica
002,01, Crédito Tributario para declaración de IVA (servicios y bienes distintos de inventarios y activos fijos)
003,02, Costo o Gasto para declaración de IR (servicios y bienes distintos de inventarios y activos fijos)
004,03, Activo Fijo - Crédito Tributario para declaración de IVA
005,04, Activo Fijo - Costo o Gasto para declaración de IR
006,05, Liquidación Gastos de Viaje, hospedaje y alimentación Gastos IR (a nombre de empleados y no de la empresa)"
007,06, Inventario - Crédito Tributario para declaración de IVA
008,07, Inventario - Costo o Gasto para declaración de IR
009,08, Valor pagado para solicitar Reembolso de Gasto (intermediario)
010,09, Reembolso por Siniestros
011,10, Distribución de Dividendos, Beneficios o Utilidades
012,11, Convenios de débito o recaudación para IFI's
013,12, Impuestos y retenciones presuntivos
014,13, Valores reconocidos por entidades del sector público a favor de sujetos pasivos
015,14, Valores facturados por socios a operadoras de transporte (que no constituyen gasto de dicha operadora)
016,15, Pagos efectuados por consumos propios y de terceros de servicios digitales
